antecedents,consequents,support,confidence,lift
"frozenset({'Asma dan Hay Fever/ Leon Chaitow; Penerjemah, Irawan'})",frozenset({'Agar Kelinci Hias Tampil Manawan/ Nuning Priyatna'}),0.00039824771007566706,1.0,2511.0
frozenset({'Agar Kelinci Hias Tampil Manawan/ Nuning Priyatna'}),"frozenset({'Asma dan Hay Fever/ Leon Chaitow; Penerjemah, Irawan'})",0.00039824771007566706,1.0,2511.0
frozenset({'Mutiara Alquran: Menerapkan Nilai-Nilai Kitab Suci Dalam Kehidupan Sehari-Hari/ Salman Harun'}),"frozenset({'Agar Tak Merugi Di Bulan Suci: Cara Mengatur Waktu & aktivitas Ramadhan Untuk Menggapai Rahmat,Berkah,Dan Ampunan Ar-Rahman/Siraj Abu Taimiyyah, M.H.I'})",0.00039824771007566706,1.0,2511.0
"frozenset({'Agar Tak Merugi Di Bulan Suci: Cara Mengatur Waktu & aktivitas Ramadhan Untuk Menggapai Rahmat,Berkah,Dan Ampunan Ar-Rahman/Siraj Abu Taimiyyah, M.H.I'})",frozenset({'Mutiara Alquran: Menerapkan Nilai-Nilai Kitab Suci Dalam Kehidupan Sehari-Hari/ Salman Harun'}),0.00039824771007566706,1.0,2511.0
frozenset({'MELINTASI MALAM/ KORRIE LAYUN RAMPAN'}),frozenset({'Air Mandi Mayat/ Randu Alamsyah'}),0.00039824771007566706,1.0,2511.0
frozenset({'Air Mandi Mayat/ Randu Alamsyah'}),frozenset({'MELINTASI MALAM/ KORRIE LAYUN RAMPAN'}),0.00039824771007566706,1.0,2511.0
frozenset({'Air mata Bulan: Mala Petaka Di Mulai/ Ziggy Zezsyazeoviennazabrizkie'}),frozenset({'BERTAMBAH BIJAK SETIAP HARI: TUHAN SUDAH PINDAH ALAMAT?/ BUDI S. TANUWIBOWO'}),0.00039824771007566706,0.5,1255.5
frozenset({'BERTAMBAH BIJAK SETIAP HARI: TUHAN SUDAH PINDAH ALAMAT?/ BUDI S. TANUWIBOWO'}),frozenset({'Air mata Bulan: Mala Petaka Di Mulai/ Ziggy Zezsyazeoviennazabrizkie'}),0.00039824771007566706,1.0,1255.5
frozenset({'Air mata Bulan: Mala Petaka Di Mulai/ Ziggy Zezsyazeoviennazabrizkie'}),frozenset({'The Bad Boy In Suit/Yessy N'}),0.00039824771007566706,0.5,156.9375
frozenset({'The Bad Boy In Suit/Yessy N'}),frozenset({'Air mata Bulan: Mala Petaka Di Mulai/ Ziggy Zezsyazeoviennazabrizkie'}),0.00039824771007566706,0.125,156.9375
